Date,Cases
3/1/2020,3
3/2/2020,20
3/3/2020,14
3/4/2020,22
3/5/2020,34
3/6/2020,74
3/7/2020,105
3/8/2020,95
3/9/2020,121
3/10/2020,200
3/11/2020,271
3/12/2020,287
3/13/2020,351
3/14/2020,511
3/15/2020,777
3/16/2020,823
3/17/2020,887
3/18/2020,1766
3/19/2020,2988
3/20/2020,4835
3/21/2020,5374
3/22/2020,7123
3/23/2020,8459
3/24/2020,11236
3/25/2020,8789
3/26/2020,13963
3/27/2020,16797
3/28/2020,18695
3/29/2020,19979
3/30/2020,18360
3/31/2020,21595
4/1/2020,24998
4/2/2020,27103
4/3/2020,28819
4/4/2020,32425
4/5/2020,34272
4/6/2020,25398
4/7/2020,30561
4/8/2020,30613
4/9/2020,33323
4/10/2020,33901
4/11/2020,35527
4/12/2020,28391
4/13/2020,27620
4/14/2020,25023
4/15/2020,26922
4/16/2020,30148
4/17/2020,31667
4/18/2020,30833
4/19/2020,32922
4/20/2020,24601
4/21/2020,28065
4/22/2020,37289
4/23/2020,17588
4/24/2020,26543
4/25/2020,21352
4/26/2020,48529
4/27/2020,26857
4/28/2020,22541
4/29/2020,24132
4/30/2020,27326
5/1/2020,29917
5/2/2020,33955
5/3/2020,29288
5/4/2020,24972
5/5/2020,22593
5/6/2020,23841
5/7/2020,24128
5/8/2020,28369
5/9/2020,26957
5/10/2020,25612
5/11/2020,20258
5/12/2020,18117
5/13/2020,22048
5/14/2020,20782
5/15/2020,27143
5/16/2020,25508
5/17/2020,24487
5/18/2020,18873
5/19/2020,21841
5/20/2020,19970
5/21/2020,23285
5/22/2020,25434
5/23/2020,24147
5/24/2020,21236
5/25/2020,20568
5/26/2020,19064
5/27/2020,18910
5/28/2020,18721
5/29/2020,21817
5/30/2020,25337
5/31/2020,23297
6/1/2020,19807
6/2/2020,21086
6/3/2020,20544
6/4/2020,19699
6/5/2020,21140
6/6/2020,25178
6/7/2020,22223
6/8/2020,22302
6/9/2020,18822
6/10/2020,18665
6/11/2020,20614
6/12/2020,22883
6/13/2020,25639
6/14/2020,25540
6/15/2020,19543
6/16/2020,19957
6/17/2020,23705
6/18/2020,25559
6/19/2020,27762
6/20/2020,29909
6/21/2020,34158
6/22/2020,25793
6/23/2020,31390
6/24/2020,34720
6/25/2020,34339
6/26/2020,40949
6/27/2020,45527
6/28/2020,42486
6/29/2020,38673
6/30/2020,41556
7/1/2020,43880
7/2/2020,52048
7/3/2020,53399
7/4/2020,54442
7/5/2020,45221
7/6/2020,49093
7/7/2020,49990
7/8/2020,57473
